,t0,m0,mw,x,y,z,area,dt,te
105634,2.31827E+12,1.37E+21,8.024005,2166673.333,5991359.333,-41898.33667,8808368615,30.74951172,6.13563E+13
105833,2.32049E+12,4.06E+21,8.339089,1735272,5421202,-26539.77,18481401153,39.23291016,1.2748E+14
105872,2.32075E+12,9.69E+21,8.590897,2632680,6967602.333,-30181.54333,37987985324,46.45068359,3.39541E+14
105883,2.32088E+12,1.08E+22,8.622748,2524697.333,6722404,-43034.81,42603064155,59.99462891,3.53998E+14
105969,2.32273E+12,7.05E+21,8.49878,1890494.667,5511246,-14594.54333,27703784373,39.85595703,1.42492E+14
105991,2.32335E+12,1.00E+22,8.601193,2637340,7054691,-37971.83,36518989198,49.95507813,5.6227E+14
106133,2.32639E+12,9.70E+21,8.591124,2474667.667,6590705,-35767.53667,40863015411,74.13671875,3.29596E+14
106217,2.32826E+12,1.20E+22,8.652723,2559384,6784968.333,-37489.29,51690295566,85.58886719,3.87584E+14
106220,2.32826E+12,5.54E+21,8.429204,2524860.667,6716872.333,-41474.44,27491966185,53.00439453,1.54445E+14
106331,2.33163E+12,1.80E+22,8.770706,2313478.667,6292939,-46677.30667,63582800605,86.82714844,6.0539E+14
106339,2.33181E+12,1.03E+22,8.608893,2674715.333,7120958.667,-26893.30667,37351928668,42.02685547,6.33567E+14
106444,2.33405E+12,4.19E+21,8.348185,2475217,6607404,-40777.17,21268974420,66.31054688,1.17598E+14
106450,2.3341E+12,2.08E+22,8.812389,2040822.667,5716170.333,-14935.62,63264682245,71.04296875,8.4841E+14
106519,2.33557E+12,1.17E+22,8.644482,2546855.667,6778638,-43541.64667,48101138988,66.61035156,3.93117E+14
106522,2.33558E+12,4.56E+21,8.372621,2621666.667,6974606,-37065.51,21713913870,56.80078125,1.46032E+14
106548,2.33637E+12,6.16E+21,8.45977,1823739,5402204.667,-14201.32667,27922543783,59.82666016,1.70767E+14
106633,2.3394E+12,8.31E+21,8.546463,2655722.333,7140417.333,-39035.53333,34991792327,58.06591797,4.02781E+14
106883,2.34347E+12,1.54E+22,8.724402,2553736.333,6797425,-43534.07333,57830326115,59.08056641,5.67301E+14
